category	rank	show_title	season_title	hours_viewed_first_28_days
Films (English)	1	Red Notice	N/A	364020000
Films (English)	2	Don't Look Up	N/A	359790000
Films (English)	3	Bird Box	N/A	282020000
Films (English)	4	Glass Onion: A Knives Out Mystery	N/A	279740000
Films (English)	5	The Gray Man	N/A	253870000
Films (English)	6	The Adam Project	N/A	233160000
Films (English)	7	Extraction	N/A	231340000
Films (English)	8	Purple Hearts	N/A	228690000
Films (English)	9	The Unforgivable	N/A	214700000
Films (English)	10	The Irishman	N/A	214570000
Films (Non-English)	1	Troll	N/A	155560000
Films (Non-English)	2	Blood Red Sky	N/A	110520000
Films (Non-English)	3	The Platform	N/A	108090000
Films (Non-English)	4	All Quiet on the Western Front	N/A	101360000
Films (Non-English)	5	Black Crab	N/A	94130000
Films (Non-English)	6	Through My Window	N/A	92440000
Films (Non-English)	7	The Takedown	N/A	78630000
Films (Non-English)	8	Below Zero	N/A	78300000
Films (Non-English)	9	My Name Is Vendetta	N/A	68730000
Films (Non-English)	10	Loving Adults	N/A	67340000
TV (English)	1	Stranger Things	Stranger Things 4	1352090000
TV (English)	2	Wednesday	Wednesday: Season 1	1237150000
TV (English)	3	DAHMER	DAHMER: Monster: The Jeffrey Dahmer Story	856270000
TV (English)	4	Bridgerton	Bridgerton: Season 2	656260000
TV (English)	5	Bridgerton	Bridgerton: Season 1	625490000
TV (English)	6	Stranger Things	Stranger Things 3	582100000
TV (English)	7	Lucifer	Lucifer: Season 5	569480000
TV (English)	8	The Witcher	The Witcher: Season 1	541010000
TV (English)	9	Inventing Anna	Inventing Anna: Limited Series	511920000
TV (English)	10	Ginny & Georgia	Ginny & Georgia: Season 2	504780000
TV (Non-English)	1	Squid Game	Squid Game: Season 1	1650450000
TV (Non-English)	2	Money Heist	Money Heist: Part 5	792230000
TV (Non-English)	3	Money Heist	Money Heist: Part 4	619010000
TV (Non-English)	4	All of Us Are Dead	All of Us Are Dead: Season 1	560780000
TV (Non-English)	5	Money Heist	Money Heist: Part 3	426400000
TV (Non-English)	6	Extraordinary Attorney Woo	Extraordinary Attorney Woo: Season 1	402470000
TV (Non-English)	7	Café con aroma de mujer	Café con aroma de mujer: Season 1	326910000
TV (Non-English)	8	Lupin	Lupin: Part 1	316830000
TV (Non-English)	9	Elite	Elite: Season 3	275300000
TV (Non-English)	10	Who Killed Sara?	Who Killed Sara?: Season 1	266430000
