week	category	weekly_rank	show_title	season_title	weekly_hours_viewed	cumulative_weeks_in_top_10
2022-04-10	TV (Non-English)	4	Forecasting Love and Weather	Forecasting Love and Weather: Season 1	14830000	7
2022-04-10	TV (Non-English)	5	Café con aroma de mujer	Café con aroma de mujer: Season 1	13050000	15
2022-04-10	TV (Non-English)	6	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	10590000	18
2022-04-10	TV (Non-English)	7	Thirty-Nine	Thirty-Nine: Season 1	9040000	5
2022-04-10	TV (Non-English)	8	All of Us Are Dead	All of Us Are Dead: Season 1	8130000	11
2022-04-10	TV (Non-English)	9	Pedro el escamoso	Pedro el escamoso: Season 1	6890000	1
2022-04-10	TV (Non-English)	10	Juvenile Justice	Juvenile Justice: Season 1	6210000	7
2022-04-03	Films (English)	1	The Adam Project	N/A	17720000	4
2022-04-03	Films (English)	2	The Bubble	N/A	12450000	1
2022-04-03	Films (English)	3	Trust No One: The Hunt for the Crypto King	N/A	12070000	1
2022-04-03	Films (English)	4	The Blind Side	N/A	9880000	1
2022-04-03	Films (English)	5	6 Underground	N/A	8730000	3
2022-04-03	Films (English)	6	Blade Runner 2049	N/A	7850000	1
2022-04-03	Films (English)	7	Shrek Forever After	N/A	7690000	1
2022-04-03	Films (English)	8	Gemini Man	N/A	7000000	3
2022-04-03	Films (English)	9	Rescued by Ruby	N/A	6380000	3
2022-04-03	Films (English)	10	Escape Room	N/A	6140000	1
2022-04-03	Films (Non-English)	1	All Hail	N/A	24280000	1
2022-04-03	Films (Non-English)	2	Black Crab	N/A	11270000	3
2022-04-03	Films (Non-English)	3	In Good Hands	N/A	10810000	2
2022-04-03	Films (Non-English)	4	Ya veremos	N/A	3850000	1
2022-04-03	Films (Non-English)	5	Without Saying Goodbye	N/A	3500000	3
2022-04-03	Films (Non-English)	6	Battle: Freestyle	N/A	3440000	1
2022-04-03	Films (Non-English)	7	Captain Nova	N/A	3290000	1
2022-04-03	Films (Non-English)	8	'83	N/A	3120000	2
2022-04-03	Films (Non-English)	9	Forever Out of My League	N/A	2770000	1
2022-04-03	Films (Non-English)	10	Through My Window	N/A	2410000	9
2022-04-03	TV (English)	1	Bridgerton	Bridgerton: Season 2	251740000	2
2022-04-03	TV (English)	2	Bridgerton	Bridgerton: Season 1	53020000	2
2022-04-03	TV (English)	3	Is It Cake?	Is It Cake?: Season 1	26510000	2
2022-04-03	TV (English)	4	Inventing Anna	Inventing Anna: Limited Series	21960000	8
2022-04-03	TV (English)	5	The Last Kingdom	The Last Kingdom: Season 5	19110000	4
2022-04-03	TV (English)	6	Top Boy	Top Boy: Season 2	16490000	3
2022-04-03	TV (English)	7	PIECES OF HER	PIECES OF HER: Season 1	16220000	5
2022-04-03	TV (English)	8	Top Boy	Top Boy: Season 1	13200000	2
2022-04-03	TV (English)	9	Vikings: Valhalla	Vikings: Valhalla: Season 1	10050000	5
2022-04-03	TV (English)	10	Taboo	Taboo: Season 1	8310000	2
2022-04-03	TV (Non-English)	1	Business Proposal	Business Proposal: Season 1	32520000	4
2022-04-03	TV (Non-English)	2	Twenty Five Twenty One	Twenty Five Twenty One: Season 1	26210000	6
2022-04-03	TV (Non-English)	3	Café con aroma de mujer	Café con aroma de mujer: Season 1	15230000	14
2022-04-03	TV (Non-English)	4	Forecasting Love and Weather	Forecasting Love and Weather: Season 1	15020000	6
2022-04-03	TV (Non-English)	5	Thirty-Nine	Thirty-Nine: Season 1	13510000	4
2022-04-03	TV (Non-English)	6	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	10890000	17
2022-04-03	TV (Non-English)	7	All of Us Are Dead	All of Us Are Dead: Season 1	9430000	10
2022-04-03	TV (Non-English)	8	Juvenile Justice	Juvenile Justice: Season 1	9340000	6
2022-04-03	TV (Non-English)	9	The Queen of Flow	The Queen of Flow: Season 2	6640000	16
2022-04-03	TV (Non-English)	10	Pasión de Gavilanes	Pasión de Gavilanes: Season 1	5530000	1
2022-03-27	Films (English)	1	The Adam Project	N/A	31700000	3
2022-03-27	Films (English)	2	Rescued by Ruby	N/A	17030000	2
2022-03-27	Films (English)	3	Gemini Man	N/A	16450000	2
2022-03-27	Films (English)	4	Windfall	N/A	15490000	2
2022-03-27	Films (English)	5	John Wick: Chapter 2	N/A	7800000	1
2022-03-27	Films (English)	6	The Dead Don't Die	N/A	7570000	1
2022-03-27	Films (English)	7	6 Underground	N/A	7440000	2
2022-03-27	Films (English)	8	A Walk Among the Tombstones	N/A	6740000	2
2022-03-27	Films (English)	9	Shrek	N/A	6350000	4
2022-03-27	Films (English)	10	Despicable Me 2	N/A	5750000	7
2022-03-27	Films (Non-English)	1	Black Crab	N/A	40510000	2
2022-03-27	Films (Non-English)	2	In Good Hands	N/A	28930000	1
2022-03-27	Films (Non-English)	3	Without Saying Goodbye	N/A	13850000	2
2022-03-27	Films (Non-English)	4	'83	N/A	10530000	1
2022-03-27	Films (Non-English)	5	The Bombardment	N/A	3170000	3
2022-03-27	Films (Non-English)	6	Restless	N/A	3030000	5
2022-03-27	Films (Non-English)	7	Through My Window	N/A	2520000	8
2022-03-27	Films (Non-English)	8	Today We Fix the World	N/A	2270000	2
2022-03-27	Films (Non-English)	9	The Pirates: The Last Royal Treasure	N/A	2260000	4
2022-03-27	Films (Non-English)	10	Love Like the Falling Petals	N/A	2210000	1
2022-03-27	TV (English)	1	Bridgerton	Bridgerton: Season 2	193020000	1
2022-03-27	TV (English)	2	Is It Cake?	Is It Cake?: Season 1	48940000	1
2022-03-27	TV (English)	3	Bridgerton	Bridgerton: Season 1	32280000	1
2022-03-27	TV (English)	4	Top Boy	Top Boy: Season 2	30640000	2
2022-03-27	TV (English)	5	Inventing Anna	Inventing Anna: Limited Series	28990000	7
2022-03-27	TV (English)	6	The Last Kingdom	The Last Kingdom: Season 5	27820000	3
2022-03-27	TV (English)	7	PIECES OF HER	PIECES OF HER: Season 1	21770000	4
2022-03-27	TV (English)	8	Top Boy	Top Boy: Season 1	19260000	1
2022-03-27	TV (English)	9	Bad Vegan: Fame. Fraud. Fugitives.	Bad Vegan: Fame. Fraud. Fugitives.: Limited Series	17570000	2
2022-03-27	TV (English)	10	Human Resources	Human Resources: Season 1	16230000	1
2022-03-27	TV (Non-English)	1	Business Proposal	Business Proposal: Season 1	30940000	3
2022-03-27	TV (Non-English)	2	Twenty Five Twenty One	Twenty Five Twenty One: Season 1	24150000	5
2022-03-27	TV (Non-English)	3	Café con aroma de mujer	Café con aroma de mujer: Season 1	18270000	13
2022-03-27	TV (Non-English)	4	Forecasting Love and Weather	Forecasting Love and Weather: Season 1	14480000	5
2022-03-27	TV (Non-English)	5	Cracow Monsters	Cracow Monsters: Season 1	13260000	1
2022-03-27	TV (Non-English)	6	Juvenile Justice	Juvenile Justice: Season 1	12510000	5
2022-03-27	TV (Non-English)	7	All of Us Are Dead	All of Us Are Dead: Season 1	11380000	9
2022-03-27	TV (Non-English)	8	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	11160000	16
2022-03-27	TV (Non-English)	9	Thirty-Nine	Thirty-Nine: Season 1	10430000	3
2022-03-27	TV (Non-English)	10	Pedal to Metal	Pedal to Metal: Season 1	8150000	1
2022-03-20	Films (English)	1	The Adam Project	N/A	85360000	2
2022-03-20	Films (English)	2	Rescued by Ruby	N/A	19940000	1
2022-03-20	Films (English)	3	Gemini Man	N/A	11840000	1
2022-03-20	Films (English)	4	The Ice Road	N/A	11650000	2
2022-03-20	Films (English)	5	The Weekend Away	N/A	9240000	3
2022-03-20	Films (English)	6	A Walk Among the Tombstones	N/A	9030000	1
2022-03-20	Films (English)	7	Windfall	N/A	8360000	1
2022-03-20	Films (English)	8	Shrek	N/A	7870000	3
2022-03-20	Films (English)	9	Shrek 2	N/A	6750000	3
2022-03-20	Films (English)	10	A Madea Homecoming	N/A	5790000	4
2022-03-20	Films (Non-English)	1	Black Crab	N/A	35920000	1
2022-03-20	Films (Non-English)	2	Without Saying Goodbye	N/A	12930000	1
2022-03-20	Films (Non-English)	3	The Bombardment	N/A	10500000	2
2022-03-20	Films (Non-English)	4	Badhaai Do	N/A	6130000	2
2022-03-20	Films (Non-English)	5	Restless	N/A	4560000	4
2022-03-20	Films (Non-English)	6	Chernobyl 1986	N/A	4490000	5
2022-03-20	Films (Non-English)	7	The Pirates: The Last Royal Treasure	N/A	4390000	3
2022-03-20	Films (Non-English)	8	One Piece Film: Strong World	N/A	3490000	1
2022-03-20	Films (Non-English)	9	Through My Window	N/A	3050000	7
2022-03-20	Films (Non-English)	10	Today We Fix the World	N/A	2640000	1
2022-03-20	TV (English)	1	The Last Kingdom	The Last Kingdom: Season 5	48950000	2
2022-03-20	TV (English)	2	PIECES OF HER	PIECES OF HER: Season 1	40080000	3
2022-03-20	TV (English)	3	Inventing Anna	Inventing Anna: Limited Series	39090000	6
2022-03-20	TV (English)	4	Formula 1: Drive to Survive	Formula 1: Drive to Survive: Season 4	29020000	2
2022-03-20	TV (English)	5	Bad Vegan: Fame. Fraud. Fugitives.	Bad Vegan: Fame. Fraud. Fugitives.: Limited Series	26960000	1
2022-03-20	TV (English)	6	Taboo	Taboo: Season 1	24150000	1
2022-03-20	TV (English)	7	Top Boy	Top Boy: Season 2	21740000	1
2022-03-20	TV (English)	8	Vikings: Valhalla	Vikings: Valhalla: Season 1	19800000	4
2022-03-20	TV (English)	9	Life After Death with Tyler Henry	Life After Death with Tyler Henry: Season 1	19580000	1
2022-03-20	TV (English)	10	Good Girls	Good Girls: Season 4	17490000	6
2022-03-20	TV (Non-English)	1	Business Proposal	Business Proposal: Season 1	23480000	2
2022-03-20	TV (Non-English)	2	Twenty Five Twenty One	Twenty Five Twenty One: Season 1	21040000	4
2022-03-20	TV (Non-English)	3	Café con aroma de mujer	Café con aroma de mujer: Season 1	20210000	12
2022-03-20	TV (Non-English)	4	Juvenile Justice	Juvenile Justice: Season 1	17220000	4
2022-03-20	TV (Non-English)	5	All of Us Are Dead	All of Us Are Dead: Season 1	13820000	8
2022-03-20	TV (Non-English)	6	Forecasting Love and Weather	Forecasting Love and Weather: Season 1	13050000	4
2022-03-20	TV (Non-English)	7	The Great Robbery of Brazil's Central Bank	The Great Robbery of Brazil's Central Bank: Season 1	10880000	1
2022-03-20	TV (Non-English)	8	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	10570000	15
2022-03-20	TV (Non-English)	9	Lies and Deceit	Lies and Deceit: Season 1	10040000	2
2022-03-20	TV (Non-English)	10	Thirty-Nine	Thirty-Nine: Season 1	9180000	2
2022-03-13	Films (English)	1	The Adam Project	N/A	92430000	1
2022-03-13	Films (English)	2	The Weekend Away	N/A	26260000	2
2022-03-13	Films (English)	3	Against The Ice	N/A	12730000	2
2022-03-13	Films (English)	4	Shrek	N/A	10380000	2
2022-03-13	Films (English)	5	Shrek 2	N/A	9900000	2
2022-03-13	Films (English)	6	A Madea Homecoming	N/A	9030000	3
2022-03-13	Films (English)	7	Shooter	N/A	7390000	1
2022-03-13	Films (English)	8	Spider-Man: Into the Spider-Verse	N/A	5910000	2
2022-03-13	Films (English)	9	Despicable Me 2	N/A	5720000	6
2022-03-13	Films (English)	10	Coach Carter	N/A	5450000	1
2022-03-13	Films (Non-English)	1	The Bombardment	N/A	19290000	1
2022-03-13	Films (Non-English)	2	The Pirates: The Last Royal Treasure	N/A	12230000	2
2022-03-13	Films (Non-English)	3	Restless	N/A	6990000	3
2022-03-13	Films (Non-English)	4	Badhaai Do	N/A	5640000	1
2022-03-13	Films (Non-English)	5	Chernobyl 1986	N/A	5330000	4
2022-03-13	Films (Non-English)	6	Meskina	N/A	4190000	2
2022-03-13	Films (Non-English)	7	Through My Window	N/A	3580000	6
2022-03-13	Films (Non-English)	8	The Invisible Thread	N/A	3140000	1
2022-03-13	Films (Non-English)	9	Love Tactics	N/A	2620000	5
2022-03-13	Films (Non-English)	10	Black Beach	N/A	1600000	1
2022-03-13	TV (English)	1	PIECES OF HER	PIECES OF HER: Season 1	95720000	2
2022-03-13	TV (English)	2	The Last Kingdom	The Last Kingdom: Season 5	63540000	1
2022-03-13	TV (English)	3	Inventing Anna	Inventing Anna: Limited Series	51840000	5
2022-03-13	TV (English)	4	Vikings: Valhalla	Vikings: Valhalla: Season 1	41760000	3
2022-03-13	TV (English)	5	Formula 1: Drive to Survive	Formula 1: Drive to Survive: Season 4	28010000	1
2022-03-13	TV (English)	6	Worst Roommate Ever	Worst Roommate Ever: Season 1	26290000	2
2022-03-13	TV (English)	7	Good Girls	Good Girls: Season 4	24500000	5
2022-03-13	TV (English)	8	Love Is Blind	Love Is Blind: Season 2	24240000	5
2022-03-13	TV (English)	9	The Last Kingdom	The Last Kingdom: Season 1	17180000	1
2022-03-13	TV (English)	10	Queen of the South	Queen of the South: Season 5	11460000	1
2022-03-13	TV (Non-English)	1	Juvenile Justice	Juvenile Justice: Season 1	25940000	3
2022-03-13	TV (Non-English)	2	Café con aroma de mujer	Café con aroma de mujer: Season 1	23060000	11
2022-03-13	TV (Non-English)	3	Lies and Deceit	Lies and Deceit: Season 1	20240000	1
2022-03-13	TV (Non-English)	4	All of Us Are Dead	All of Us Are Dead: Season 1	17480000	7
2022-03-13	TV (Non-English)	5	Twenty Five Twenty One	Twenty Five Twenty One: Season 1	17110000	3
2022-03-13	TV (Non-English)	6	Business Proposal	Business Proposal: Season 1	15900000	1
2022-03-13	TV (Non-English)	7	Midnight at the Pera Palace	Midnight at the Pera Palace: Season 1	14690000	2
2022-03-13	TV (Non-English)	8	Forecasting Love and Weather	Forecasting Love and Weather: Season 1	12250000	3
2022-03-13	TV (Non-English)	9	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	10340000	14
2022-03-13	TV (Non-English)	10	The Queen of Flow	The Queen of Flow: Season 2	8410000	15
2022-03-06	Films (English)	1	The Weekend Away	N/A	44450000	1
2022-03-06	Films (English)	2	Against The Ice	N/A	30730000	1
2022-03-06	Films (English)	3	A Madea Homecoming	N/A	26410000	2
2022-03-06	Films (English)	4	Spider-Man: Into the Spider-Verse	N/A	13940000	1
2022-03-06	Films (English)	5	Shrek 2	N/A	13040000	1
2022-03-06	Films (English)	6	The Tinder Swindler	N/A	9510000	5
2022-03-06	Films (English)	7	Shrek	N/A	7780000	1
2022-03-06	Films (English)	8	Just Like Heaven	N/A	7160000	1
2022-03-06	Films (English)	9	Despicable Me 2	N/A	6890000	5
2022-03-06	Films (English)	10	Battleship	N/A	6710000	1
2022-03-06	Films (Non-English)	1	Restless	N/A	26030000	2
2022-03-06	Films (Non-English)	2	The Pirates: The Last Royal Treasure	N/A	17710000	1
2022-03-06	Films (Non-English)	3	Chernobyl 1986	N/A	7730000	3
2022-03-06	Films (Non-English)	4	Through My Window	N/A	5510000	5
2022-03-06	Films (Non-English)	5	Love Tactics	N/A	3660000	4
2022-03-06	Films (Non-English)	6	Meskina	N/A	2940000	1
2022-03-06	Films (Non-English)	7	A Woman With No Filter	N/A	2860000	2
2022-03-06	Films (Non-English)	8	My Wonderful Life	N/A	2500000	1
2022-03-06	Films (Non-English)	9	UFO	N/A	2440000	2
2022-03-06	Films (Non-English)	10	Valentina's Wedding	N/A	2420000	1
2022-03-06	TV (English)	1	Vikings: Valhalla	Vikings: Valhalla: Season 1	113380000	2
2022-03-06	TV (English)	2	Inventing Anna	Inventing Anna: Limited Series	77590000	4
2022-03-06	TV (English)	3	PIECES OF HER	PIECES OF HER: Season 1	53680000	1
2022-03-06	TV (English)	4	Worst Roommate Ever	Worst Roommate Ever: Season 1	52380000	1
2022-03-06	TV (English)	5	Love Is Blind	Love Is Blind: Season 2	39750000	4
2022-03-06	TV (English)	6	One of Us Is Lying	One of Us Is Lying: Season 1	16550000	3
2022-03-06	TV (English)	7	jeen-yuhs: A Kanye Trilogy	N/A	12200000	2
2022-03-06	TV (English)	8	The Cuphead Show!	The Cuphead Show!: Season 1	11810000	3
2022-03-06	TV (English)	9	Sweet Magnolias	Sweet Magnolias: Season 2	11780000	5
2022-03-06	TV (English)	10	Ozark	Ozark: Season 4	9110000	7
2022-03-06	TV (Non-English)	1	Juvenile Justice	Juvenile Justice: Season 1	45930000	2
2022-03-06	TV (Non-English)	2	Café con aroma de mujer	Café con aroma de mujer: Season 1	27540000	10
2022-03-06	TV (Non-English)	3	All of Us Are Dead	All of Us Are Dead: Season 1	24020000	6
2022-03-06	TV (Non-English)	4	Back to 15	Back to 15: Season 1	18060000	1
2022-03-06	TV (Non-English)	5	Twenty Five Twenty One	Twenty Five Twenty One: Season 1	13720000	2
2022-03-06	TV (Non-English)	6	The Fame Game	The Fame Game: Season 1	11610000	1
2022-03-06	TV (Non-English)	7	Forecasting Love and Weather	Forecasting Love and Weather: Season 1	10790000	2
2022-03-06	TV (Non-English)	8	Midnight at the Pera Palace	Midnight at the Pera Palace: Season 1	10780000	1
2022-03-06	TV (Non-English)	9	Thirty-Nine	Thirty-Nine: Season 1	10490000	1
2022-03-06	TV (Non-English)	10	Dark Desire	Dark Desire: Season 2	10400000	5
2022-02-27	Films (English)	1	A Madea Homecoming	N/A	31560000	1
2022-02-27	Films (English)	2	The Tinder Swindler	N/A	17670000	4
2022-02-27	Films (English)	3	Texas Chainsaw Massacre	N/A	17440000	2
2022-02-27	Films (English)	4	Downfall: The Case Against Boeing	N/A	9910000	2
2022-02-27	Films (English)	5	Despicable Me 2	N/A	9750000	4
2022-02-27	Films (English)	6	Fistful of Vengeance	N/A	7560000	2
2022-02-27	Films (English)	7	Tall Girl 2	N/A	7470000	3
2022-02-27	Films (English)	8	Abominable	N/A	7330000	2
2022-02-27	Films (English)	9	Despicable Me	N/A	5590000	4
2022-02-27	Films (English)	10	Red Notice	N/A	4970000	13
2022-02-27	Films (Non-English)	1	Restless	N/A	19810000	1
2022-02-27	Films (Non-English)	2	Don't Kill Me	N/A	12090000	1
2022-02-27	Films (Non-English)	3	Through My Window	N/A	7760000	4
2022-02-27	Films (Non-English)	4	Love Tactics	N/A	5620000	3
2022-02-27	Films (Non-English)	5	Parallel Mothers	N/A	4820000	2
2022-02-27	Films (Non-English)	6	UFO	N/A	4270000	1
2022-02-27	Films (Non-English)	7	A Woman With No Filter	N/A	3850000	1
2022-02-27	Films (Non-English)	8	Todos queremos a alguien	N/A	3670000	1
2022-02-27	Films (Non-English)	9	Compadres	N/A	3310000	1
2022-02-27	Films (Non-English)	10	Lost Paradise	N/A	3310000	1
2022-02-27	TV (English)	1	Inventing Anna	Inventing Anna: Limited Series	130800000	3
2022-02-27	TV (English)	2	Vikings: Valhalla	Vikings: Valhalla: Season 1	80560000	1
2022-02-27	TV (English)	3	Love Is Blind	Love Is Blind: Season 2	53600000	3
2022-02-27	TV (English)	4	One of Us Is Lying	One of Us Is Lying: Season 1	33750000	2
2022-02-27	TV (English)	5	The Cuphead Show!	The Cuphead Show!: Season 1	20850000	2
2022-02-27	TV (English)	6	Sweet Magnolias	Sweet Magnolias: Season 2	18610000	4
2022-02-27	TV (English)	7	Ozark	Ozark: Season 4	12860000	6
2022-02-27	TV (English)	8	Space Force	Space Force: Season 2	12320000	1
2022-02-27	TV (English)	9	Raising Dion	Raising Dion: Season 2	11760000	4
2022-02-27	TV (English)	10	jeen-yuhs: A Kanye Trilogy	N/A	11460000	1
2022-02-27	TV (Non-English)	1	All of Us Are Dead	All of Us Are Dead: Season 1	38860000	5
2022-02-27	TV (Non-English)	2	Café con aroma de mujer	Café con aroma de mujer: Season 1	32540000	9
2022-02-27	TV (Non-English)	3	Juvenile Justice	Juvenile Justice: Season 1	17410000	1
2022-02-27	TV (Non-English)	4	Dark Desire	Dark Desire: Season 2	15010000	4
2022-02-27	TV (Non-English)	5	Toy Boy	Toy Boy: Season 1	12750000	3
2022-02-27	TV (Non-English)	6	Toy Boy	Toy Boy: Season 2	12700000	3
2022-02-27	TV (Non-English)	7	Twenty Five Twenty One	Twenty Five Twenty One: Season 1	11850000	1
2022-02-27	TV (Non-English)	8	Fishbowl Wives	Fishbowl Wives: Season 1	11080000	2
2022-02-27	TV (Non-English)	9	Forecasting Love and Weather	Forecasting Love and Weather: Season 1	11020000	1
2022-02-27	TV (Non-English)	10	Devotion, a Story of Love and Desire	Devotion, a Story of Love and Desire: Season 1	10420000	2
2022-02-20	Films (English)	1	The Tinder Swindler	N/A	34450000	3
2022-02-20	Films (English)	2	Texas Chainsaw Massacre	N/A	29180000	1
2022-02-20	Films (English)	3	Tall Girl 2	N/A	21740000	2
2022-02-20	Films (English)	4	Fistful of Vengeance	N/A	18300000	1
2022-02-20	Films (English)	5	Despicable Me 2	N/A	11510000	3
2022-02-20	Films (English)	6	Abominable	N/A	8960000	1
2022-02-20	Films (English)	7	St. Vincent	N/A	7640000	1
2022-02-20	Films (English)	8	Downfall: The Case Against Boeing	N/A	7420000	1
2022-02-20	Films (English)	9	Despicable Me	N/A	7170000	3
2022-02-20	Films (English)	10	The Vanishing	N/A	7030000	1
2022-02-20	Films (Non-English)	1	Love Tactics	N/A	16860000	2
2022-02-20	Films (Non-English)	2	Through My Window	N/A	13300000	3
2022-02-20	Films (Non-English)	3	Bigbug	N/A	8110000	2
2022-02-20	Films (Non-English)	4	Love and Leashes	N/A	7420000	2
2022-02-20	Films (Non-English)	5	The Privilege	N/A	6760000	2
2022-02-20	Films (Non-English)	6	Parallel Mothers	N/A	6510000	1
2022-02-20	Films (Non-English)	7	Into the Wind	N/A	4890000	2
2022-02-20	Films (Non-English)	8	Parallel Roads	N/A	2710000	1
2022-02-20	Films (Non-English)	9	My Best Friend Anne Frank	N/A	2510000	3
2022-02-20	Films (Non-English)	10	Thoroughbred	N/A	2190000	1
2022-02-20	TV (English)	1	Inventing Anna	Inventing Anna: Limited Series	195970000	2
2022-02-20	TV (English)	2	Love Is Blind	Love Is Blind: Season 2	58960000	2
2022-02-20	TV (English)	3	Sweet Magnolias	Sweet Magnolias: Season 2	29760000	3
2022-02-20	TV (English)	4	Ozark	Ozark: Season 4	17990000	5
2022-02-20	TV (English)	5	Raising Dion	Raising Dion: Season 2	17550000	3
