week	category	weekly_rank	show_title	season_title	weekly_hours_viewed	cumulative_weeks_in_top_10
2022-04-17	Films (English)	1	The In Between	N/A	35900000	2
2022-04-17	Films (English)	2	Choose or Die	N/A	16000000	1
2022-04-17	Films (English)	3	A Score to Settle	N/A	9750000	1
2022-04-17	Films (English)	4	The Adam Project	N/A	9270000	6
2022-04-17	Films (English)	5	Metal Lords	N/A	8740000	1
2022-04-17	Films (English)	6	How It Ends	N/A	8600000	2
2022-04-17	Films (English)	7	The Call	N/A	7710000	1
2022-04-17	Films (English)	8	Return to Space	N/A	7150000	2
2022-04-17	Films (English)	9	Cleaner	N/A	6770000	1
2022-04-17	Films (English)	10	A Dog's Way Home	N/A	5750000	1
2022-04-17	Films (Non-English)	1	Furioza	N/A	17800000	2
2022-04-17	Films (Non-English)	2	The Taming of the Shrewd	N/A	17020000	1
2022-04-17	Films (Non-English)	3	Yaksha: Ruthless Operations	N/A	16380000	2
2022-04-17	Films (Non-English)	4	Dancing on Glass	N/A	5230000	1
2022-04-17	Films (Non-English)	5	All Hail	N/A	4320000	3
2022-04-17	Films (Non-English)	6	Dasvi	N/A	4020000	2
2022-04-17	Films (Non-English)	7	Black Crab	N/A	3040000	5
2022-04-17	Films (Non-English)	8	In Good Hands	N/A	2550000	4
2022-04-17	Films (Non-English)	9	Fack ju Göhte 3	N/A	2400000	1
2022-04-17	Films (Non-English)	10	Through My Window	N/A	2280000	10
2022-04-17	TV (English)	1	Bridgerton	Bridgerton: Season 2	66610000	4
2022-04-17	TV (English)	2	The Ultimatum: Marry or Move On	The Ultimatum: Marry or Move On: Season 1	58470000	2
2022-04-17	TV (English)	3	Anatomy of a Scandal	Anatomy of a Scandal: Limited Series	40280000	1
2022-04-17	TV (English)	4	Bridgerton	Bridgerton: Season 1	23300000	4
2022-04-17	TV (English)	5	Our Great National Parks	Our Great National Parks: Limited Series	17090000	1
2022-04-17	TV (English)	6	Inventing Anna	Inventing Anna: Limited Series	13690000	10
2022-04-17	TV (English)	7	Queen of the South	Queen of the South: Season 5	13100000	2
2022-04-17	TV (English)	8	Better Call Saul	Better Call Saul: Season 5	12430000	2
2022-04-17	TV (English)	9	Jimmy Savile: A British Horror Story	Jimmy Savile: A British Horror Story: Limited Series	11410000	2
2022-04-17	TV (English)	10	Is It Cake?	Is It Cake?: Season 1	11210000	4
2022-04-17	TV (Non-English)	1	Elite	Elite: Season 5	67390000	2
2022-04-17	TV (Non-English)	2	Business Proposal	Business Proposal: Season 1	24190000	6
2022-04-17	TV (Non-English)	3	Twenty Five Twenty One	Twenty Five Twenty One: Season 1	14080000	8
2022-04-17	TV (Non-English)	4	Heirs to the Land	Heirs to the Land: Season 1	11810000	1
2022-04-17	TV (Non-English)	5	Café con aroma de mujer	Café con aroma de mujer: Season 1	11350000	16
2022-04-17	TV (Non-English)	6	Smother-in-Law	Smother-in-Law: Season 1	11070000	1
2022-04-17	TV (Non-English)	7	Happiness	N/A	10940000	1
2022-04-17	TV (Non-English)	8	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	10400000	19
2022-04-17	TV (Non-English)	9	Elite	Elite: Season 1	10110000	2
2022-04-17	TV (Non-English)	10	Forecasting Love and Weather	Forecasting Love and Weather: Season 1	9410000	8
2022-04-10	Films (English)	1	The In Between	N/A	26770000	1
2022-04-10	Films (English)	2	The Adam Project	N/A	10900000	5
2022-04-10	Films (English)	3	The Bubble	N/A	9950000	2
2022-04-10	Films (English)	4	Shrek Forever After	N/A	9770000	2
2022-04-10	Films (English)	5	The Blind Side	N/A	8710000	2
2022-04-10	Films (English)	6	Four Brothers	N/A	8170000	1
2022-04-10	Films (English)	7	Enough	N/A	5790000	1
2022-04-10	Films (English)	8	How It Ends	N/A	5650000	1
2022-04-10	Films (English)	9	Shrek	N/A	5340000	5
2022-04-10	Films (English)	10	Return to Space	N/A	4550000	1
2022-04-10	Films (Non-English)	1	Furioza	N/A	23960000	1
2022-04-10	Films (Non-English)	2	All Hail	N/A	13300000	2
2022-04-10	Films (Non-English)	3	Yaksha: Ruthless Operations	N/A	12540000	1
2022-04-10	Films (Non-English)	4	Dasvi	N/A	5690000	1
2022-04-10	Films (Non-English)	5	Black Crab	N/A	4660000	4
2022-04-10	Films (Non-English)	6	Captain Nova	N/A	4610000	2
2022-04-10	Films (Non-English)	7	Enforcement	N/A	4020000	1
2022-04-10	Films (Non-English)	8	In Good Hands	N/A	4010000	3
2022-04-10	Films (Non-English)	9	Retfærdighedens ryttere	N/A	3710000	1
2022-04-10	Films (Non-English)	10	Ya veremos	N/A	3580000	2
2022-04-10	TV (English)	1	Bridgerton	Bridgerton: Season 2	115750000	3
2022-04-10	TV (English)	2	The Ultimatum: Marry or Move On	The Ultimatum: Marry or Move On: Season 1	43710000	1
2022-04-10	TV (English)	3	Bridgerton	Bridgerton: Season 1	35760000	3
2022-04-10	TV (English)	4	Jimmy Savile: A British Horror Story	Jimmy Savile: A British Horror Story: Limited Series	17700000	1
2022-04-10	TV (English)	5	Inventing Anna	Inventing Anna: Limited Series	17320000	9
2022-04-10	TV (English)	6	Better Call Saul	Better Call Saul: Season 5	15170000	1
2022-04-10	TV (English)	7	Is It Cake?	Is It Cake?: Season 1	14760000	3
2022-04-10	TV (English)	8	Super PupZ	Super PupZ: Season 1	13770000	1
2022-04-10	TV (English)	9	The Last Kingdom	The Last Kingdom: Season 5	12970000	5
2022-04-10	TV (English)	10	CoComelon	CoComelon: Season 5	12630000	1
2022-04-10	TV (Non-English)	1	Elite	Elite: Season 5	51380000	1
2022-04-10	TV (Non-English)	2	Business Proposal	Business Proposal: Season 1	41460000	5
2022-04-10	TV (Non-English)	3	Twenty Five Twenty One	Twenty Five Twenty One: Season 1	22530000	7
