category	rank	show_title	season_title	hours_viewed_first_28_days
Films (English)	1	Bird Box	N/A	282020000
Films (English)	2	Extraction	N/A	231340000
Films (English)	3	The Irishman	N/A	214570000
Films (English)	4	The Kissing Booth 2	N/A	209250000
Films (English)	5	6 Underground	N/A	205470000
Films (English)	6	Spenser Confidential	N/A	197320000
Films (English)	7	Enola Holmes	N/A	189900000
Films (English)	8	Army of the Dead	N/A	186540000
Films (English)	9	The Old Guard	N/A	185710000
Films (English)	10	Murder Mystery	N/A	169590000
Films (Non-English)	1	Blood Red Sky	N/A	110520000
Films (Non-English)	2	The Platform	N/A	108090000
Films (Non-English)	3	Below Zero	N/A	78300000
Films (Non-English)	4	Rogue City	N/A	66600000
Films (Non-English)	5	The Forgotten Battle	N/A	60930000
Films (Non-English)	6	Lost Bullet	N/A	58320000
Films (Non-English)	7	#Alive	N/A	54620000
Films (Non-English)	8	Space Sweepers	N/A	53340000
Films (Non-English)	9	The Last Mercenary	N/A	52110000
Films (Non-English)	10	Just Another Christmas	N/A	48430000
TV (English)	1	Bridgerton	Bridgerton: Season 1	625490000
TV (English)	2	Stranger Things	Stranger Things 3	582100000
TV (English)	3	The Witcher	The Witcher: Season 1	541010000
TV (English)	4	13 Reasons Why	13 Reasons Why: Season 2	496120000
TV (English)	5	13 Reasons Why	13 Reasons Why: Season 1	475570000
TV (English)	6	Maid	Maid: Limited Series	469090000
TV (English)	7	You	You: Season 3	467820000
TV (English)	8	You	You: Season 2	457370000
TV (English)	9	Stranger Things	Stranger Things 2	427440000
TV (English)	10	Sex Education	Sex Education: Season 3	418760000
TV (Non-English)	1	Squid Game	Squid Game: Season 1	1650450000
TV (Non-English)	2	Money Heist	Money Heist: Part 4	619010000
TV (Non-English)	3	Money Heist	Money Heist: Part 3	426400000
TV (Non-English)	4	Money Heist	Money Heist: Part 5	395130000
TV (Non-English)	5	Lupin	Lupin: Part 1	316830000
TV (Non-English)	6	Elite	Elite: Season 3	275300000
TV (Non-English)	7	Who Killed Sara?	Who Killed Sara?: Season 1	266430000
TV (Non-English)	8	Elite	Elite: Season 4	257090000
TV (Non-English)	9	Lupin	Lupin: Part 2	214070000
TV (Non-English)	10	Dark Desire	Dark Desire: Season 1	213790000
